VehicleCode,PartNumber,BarCode,ManufacturerPartNumber,PositionId,PositionValue,Attributes
041.106.02.2024,1101631,8430525034686,YWS-306A-B,,,
105.354.01.2024,1101631,8430525034686,YWS-306A-B,,,
926.082.01.2023,1101631,8430525034686,YWS-306A-B,,,
926.082.02.2022,1101631,8430525034686,YWS-306A-B,,,
926.082.02.2023,1101631,8430525034686,YWS-306A-B,,,
041.105.01.2023,1101631,8430525034686,YWS-306A-B,,,
041.105.01.2024,1101631,8430525034686,YWS-306A-B,,,
041.105.02.2023,1101631,8430525034686,YWS-306A-B,,,
926.080.02.2023,1101631,8430525034686,YWS-306A-B,,,
926.081.01.2023,1101631,8430525034686,YWS-306A-B,,,
926.081.01.2024,1101631,8430525034686,YWS-306A-B,,,
926.081.02.2022,1101631,8430525034686,YWS-306A-B,,,
926.081.02.2023,1101631,8430525034686,YWS-306A-B,,,
926.082.01.2022,1101631,8430525034686,YWS-306A-B,,,
032.152.01.2023,1101631,8430525034686,YWS-306A-B,,,
032.152.02.2022,1101631,8430525034686,YWS-306A-B,,,
032.152.02.2023,1101631,8430525034686,YWS-306A-B,,,
926.080.01.2022,1101631,8430525034686,YWS-306A-B,,,
926.080.01.2023,1101631,8430525034686,YWS-306A-B,,,
926.080.02.2022,1101631,8430525034686,YWS-306A-B,,,
105.356.01.2024,1101631,8430525034686,YWS-306A-B,,,
105.356.02.2023,1101631,8430525034686,YWS-306A-B,,,
105.356.02.2024,1101631,8430525034686,YWS-306A-B,,,
032.152.03.2023,1101631,8430525034686,YWS-306A-B,,,
032.152.03.2024,1101631,8430525034686,YWS-306A-B,,,
032.152.01.2022,1101631,8430525034686,YWS-306A-B,,,
936.016.01.2003,1101894,8430525000049,PT00004,,,
004.103.01.2000,1101894,8430525000049,PT00004,,,
062.031.01.2003,1101894,8430525000049,PT00004,,,
062.031.01.2004,1101894,8430525000049,PT00004,,,
105.354.01.2023,1101631,8430525034686,YWS-306A-B,,,
105.356.01.2023,1101631,8430525034686,YWS-306A-B,,,
907.012.01.1999,1101894,8430525000049,PT00004,,,
907.012.01.2000,1101894,8430525000049,PT00004,,,
907.012.01.2001,1101894,8430525000049,PT00004,,,
